,X (mm),Y (mm),Si (at. %),Ge (at. %),Sn (at. %),I (A),m (g),ρ (g/cm³),l (mg/cm²),d (µm)
0,-1.25,8.149999999999999,0.2752421410480596,0.618113990843068,0.1066438681088725,4.947298984308745e-07,2.739076094848601e-07,5.3537897,0.062,0.117
1,-6.25,8.149999999999999,0.29142795304438496,0.5990172009499312,0.10955484600568384,4.911666352756733e-07,2.694897448157494e-07,5.343646,0.061,0.114
2,-11.25,8.149999999999999,0.30622970345396255,0.5759498331549109,0.1178204633911266,4.771178480883254e-07,2.6065401547752817e-07,5.3546787,0.059,0.111
3,-16.25,8.149999999999999,0.3548890593978428,0.5281289130156163,0.11698202758654093,4.940394900912695e-07,2.6065401547752817e-07,5.2868596,0.059,0.113
4,-21.25,8.149999999999999,0.3946383082412573,0.49007665592210553,0.11528503583663724,5.005428104634957e-07,2.5623615080841754e-07,5.2237545,0.058,0.111
5,-26.25,8.149999999999999,0.40975787566613997,0.4684299755513514,0.1218121487825086,4.601897716466232e-07,2.3414682746286427e-07,5.2270855,0.053,0.102
6,-31.25,8.149999999999999,0.45022246439043395,0.4280149445949547,0.12176259101461137,4.5660701868824433e-07,2.2531109812464297e-07,5.1659746,0.051,0.099
7,13.75,13.149999999999999,0.20664129723088753,0.6811911752753983,0.1121675274937142,3.949082396231939e-07,2.2972896279375362e-07,5.4553843,0.052,0.095
8,8.75,13.149999999999999,0.22267331241112256,0.661586593231739,0.11574009435713845,4.669999063363046e-07,2.694897448157494e-07,5.449026700000001,0.061,0.111
9,3.75,13.149999999999999,0.24435333887714822,0.6399109322128437,0.11573572891000818,4.814915667676006e-07,2.739076094848601e-07,5.423651400000001,0.062,0.114
10,-1.25,13.149999999999999,0.26052094520182856,0.6191225615933078,0.12035649320486358,4.851615584116097e-07,2.739076094848601e-07,5.4203696,0.062,0.114
11,-6.25,13.149999999999999,0.2833934055725687,0.5939622098104974,0.12264438461693387,4.918630896309568e-07,2.739076094848601e-07,5.4001128000000005,0.062,0.115
12,-11.25,13.149999999999999,0.33321286227591423,0.5450101851960943,0.12177695252799137,5.094434800443773e-07,2.739076094848601e-07,5.3341216000000005,0.062,0.117
13,-16.25,13.149999999999999,0.3642772834806825,0.5118102382326957,0.12391247828662169,5.032137582431669e-07,2.650718801466388e-07,5.300409800000001,0.06,0.113
14,-21.25,13.149999999999999,0.39272265467712497,0.48087537124435137,0.12640197407852372,5.041321493713015e-07,2.6065401547752817e-07,5.2698538,0.059,0.112
15,-26.25,13.149999999999999,0.42854975477448215,0.4440869017190934,0.12736334350642445,5.086347048021159e-07,2.5623615080841754e-07,5.222639399999999,0.058,0.111
16,-31.25,13.149999999999999,0.4654760182262946,0.4032605142925106,0.13126346748119475,5.034654202429257e-07,2.474004214701962e-07,5.181857900000001,0.056,0.108
17,-36.25,13.149999999999999,0.5028243245518897,0.3677036399265207,0.12947203552158965,4.820803526450107e-07,2.2972896279375362e-07,5.114584600000001,0.052,0.101
18,-41.25,13.149999999999999,0.5449941757340078,0.3277560706989437,0.12724975356704854,4.7082013243406667e-07,2.164753687864217e-07,5.031372,0.049,0.098
19,-46.25,13.149999999999999,0.5796603833849956,0.2921248734027456,0.1282147432122587,4.348067831062795e-07,1.9438604544086846e-07,4.9720997,0.044,0.089
20,18.75,18.15,0.19115953025977594,0.6890583017534264,0.11978216798679774,3.890463465306004e-07,2.2972896279375362e-07,5.4984403,0.052,0.095
21,13.75,18.15,0.20451642726009311,0.6740809447939319,0.12140262794597505,4.7484619292574443e-07,2.7832547415397076e-07,5.4884881000000005,0.063,0.114
22,8.75,18.15,0.24069550364683276,0.64030279303214,0.11900170332102729,5.024420052634836e-07,2.8716120349219206e-07,5.439177000000001,0.065,0.12
23,3.75,18.15,0.2585071749255279,0.6170891108031429,0.12440371427132921,5.14328740764342e-07,2.915790681613027e-07,5.4367799,0.066,0.121
24,-1.25,18.15,0.27639653061937036,0.5965537367608004,0.12704973261982935,5.195759102012522e-07,2.915790681613027e-07,5.4246411000000005,0.066,0.121
25,-6.25,18.15,0.3014642544748062,0.5687923530688603,0.12974339245633357,5.195488055014589e-07,2.8716120349219206e-07,5.4041398,0.065,0.121
26,-11.25,18.15,0.33135465851885315,0.5356327733560481,0.1330125681250987,5.290836891597026e-07,2.8716120349219206e-07,5.3778653,0.065,0.12
27,-16.25,18.15,0.3575891121001443,0.5065707752932916,0.13584011260656403,5.295367261784515e-07,2.8274333882308144e-07,5.354327700000001,0.064,0.119
28,-21.25,18.15,0.38812174403341104,0.47572335241775915,0.13615490354882973,5.241930892735709e-07,2.739076094848601e-07,5.314551499999999,0.062,0.116
29,-26.25,18.15,0.4229031791836292,0.4354760161992978,0.14162080461707294,5.268346949744837e-07,2.694897448157494e-07,5.2872583,0.061,0.116
30,-31.25,18.15,0.46309019982613053,0.3969657291553261,0.13994407101854342,5.169305882279227e-07,2.5623615080841754e-07,5.221540399999999,0.058,0.112
31,-36.25,18.15,0.5027164950445728,0.35752862377827616,0.13975488117715096,5.055372205384062e-07,2.4298255680108557e-07,5.1587895,0.055,0.106
32,-41.25,18.15,0.5380080114273443,0.3222642459531678,0.13972774261948784,5.010654630450555e-07,2.3414682746286427e-07,5.1001322,0.053,0.103
33,-46.25,18.15,0.5803839011547431,0.28480339344785943,0.1348127053973974,4.915649691277731e-07,2.2089323345553238e-07,5.0021195999999994,0.05,0.1
34,-51.25,18.15,0.6110422923383847,0.2557693983393864,0.13318830932222903,4.446672912894521e-07,1.9438604544086846e-07,4.9357103,0.044,0.089
35,18.75,23.15,0.1883394265530884,0.6834793817602106,0.12818119168670106,4.7528009693248405e-07,2.8274333882308144e-07,5.5282327,0.064,0.115
36,13.75,23.15,0.22095205243930097,0.648766473291888,0.13028147426881104,5.07367776618476e-07,2.9599693283041336e-07,5.4996188,0.067,0.122
37,8.75,23.15,0.24192046135195658,0.6260366394010384,0.13204289924700505,5.214058623415501e-07,3.00414797499524e-07,5.482000900000001,0.068,0.125
38,3.75,23.15,0.2400014362390149,0.6223877008236682,0.13761086293731684,5.111139081764359e-07,2.9599693283041336e-07,5.5022503,0.067,0.122
39,-1.25,23.15,0.2772419545658297,0.5843287884748473,0.1384292569593231,5.235984049459981e-07,2.9599693283041336e-07,5.4630963,0.067,0.123
40,-6.25,23.15,0.3001406499361501,0.5568407189400152,0.14301863112383467,5.30028946599653e-07,2.9599693283041336e-07,5.4520166,0.067,0.123
41,-11.25,23.15,0.32638532285116395,0.5275316187554019,0.14608305839343413,5.303986125921571e-07,2.915790681613027e-07,5.431170900000001,0.066,0.122
42,-16.25,23.15,0.3471603882477676,0.5033032211770065,0.14953639057522577,5.286126023540185e-07,2.8716120349219206e-07,5.417910900000001,0.065,0.119
43,-21.25,23.15,0.3826650887770035,0.4638751193352722,0.15345979188772438,5.320653204978101e-07,2.8274333882308144e-07,5.3866176,0.064,0.119
44,-26.25,23.15,0.4214181237532701,0.42417326924305543,0.15440860700367454,5.382606248889728e-07,2.7832547415397076e-07,5.3391568,0.063,0.118
45,-31.25,23.15,0.4513659477572828,0.393954349887025,0.1546797023556923,5.3272091046197e-07,2.694897448157494e-07,5.298373600000001,0.061,0.114
46,-36.25,23.15,0.49223404228628936,0.3544687106533704,0.15329724706034034,5.320627772391488e-07,2.6065401547752817e-07,5.2324408,0.059,0.113
47,-41.25,23.15,0.526438472542778,0.3213657496488684,0.15219577780835356,5.191598587502974e-07,2.474004214701962e-07,5.1740991,0.056,0.108
48,-46.25,23.15,0.5705159361175199,0.2834170812184342,0.14606698266404577,5.118049126141029e-07,2.3414682746286427e-07,5.0724038,0.053,0.104
49,-51.25,23.15,0.605612938819607,0.24978340926478856,0.14460365191560454,4.978881386627521e-07,2.2089323345553238e-07,5.0015853,0.05,0.099
50,23.75,28.15,0.17542701981885342,0.6839634662816478,0.1406095138994987,4.3109509650375346e-07,2.6065401547752817e-07,5.5812713,0.059,0.106
51,18.75,28.15,0.1866079528025448,0.6745686345106721,0.13882341268678308,4.935173072833494e-07,2.9599693283041336e-07,5.5635833,0.067,0.12
52,13.75,28.15,0.20335754844212192,0.6518324439524507,0.1448100076054275,5.117040659112724e-07,3.0483266216863466e-07,5.5658067,0.069,0.124
53,8.75,28.15,0.23596951536329472,0.6187505836949881,0.145279900941717,5.29917166777397e-07,3.0925052683774533e-07,5.53262,0.07,0.127
54,3.75,28.15,0.25643601873318944,0.5932952791012576,0.15026870216555294,5.428675501327376e-07,3.136683915068559e-07,5.5267308,0.071,0.128
55,-1.25,28.15,0.2679183032731521,0.5809115719362699,0.15117012479057812,5.312403766572396e-07,3.0483266216863466e-07,5.5170196,0.069,0.125
56,-6.25,28.15,0.30026779484214633,0.5458585499791354,0.15387365517871834,5.496350830397465e-07,3.0925052683774533e-07,5.4894837,0.07,0.127
57,-11.25,28.15,0.31576283514671205,0.5222534980790127,0.16198366677427545,5.44381926106193e-07,3.0483266216863466e-07,5.4995202,0.069,0.125
58,-16.25,28.15,0.35082805011694873,0.48691584990019454,0.1622560999828568,5.493860159169796e-07,3.00414797499524e-07,5.4590337,0.068,0.124
59,-21.25,28.15,0.37808679609862406,0.45610245239676556,0.16581075150461044,5.502732601846992e-07,2.9599693283041336e-07,5.4383705,0.067,0.122
60,-26.25,28.15,0.4055828636099381,0.4261782850100014,0.16823885138006045,5.350769651296907e-07,2.8274333882308144e-07,5.4130626,0.064,0.119
61,-31.25,28.15,0.4444880429791866,0.3844206478921413,0.17109130912867213,5.40559243728689e-07,2.7832547415397076e-07,5.3720851000000005,0.063,0.117
62,-36.25,28.15,0.48796650231749356,0.34490842978794223,0.16712506789456424,5.423876884361296e-07,2.694897448157494e-07,5.2960339,0.061,0.114
63,-41.25,28.15,0.5210491086530695,0.31303023742224345,0.1659206539246869,5.294283222498109e-07,2.5623615080841754e-07,5.2405198,0.058,0.11
64,-46.25,28.15,0.5603894292527837,0.2772509602576834,0.16235961048953285,5.195969423340002e-07,2.4298255680108557e-07,5.163501200000001,0.055,0.107
65,-51.25,28.15,0.5951339934035099,0.2450498143098312,0.1598161922866589,5.16239271398627e-07,2.3414682746286427e-07,5.0921639,0.053,0.103
66,-56.25,28.15,0.6291584808260786,0.21925142928379712,0.15159008989012426,4.847097080136395e-07,2.1205750411731105e-07,4.9906206,0.048,0.096
67,23.75,33.15,0.16883648855839067,0.6803685383874807,0.1507949730541287,4.6267819804680554e-07,2.8274333882308144e-07,5.6195656000000005,0.064,0.114
68,18.75,33.15,0.20641609120210988,0.6398283382490978,0.15375557054879233,5.023156303184346e-07,3.00414797499524e-07,5.5911288,0.068,0.121
69,13.75,33.15,0.21263836054957536,0.6297933978205599,0.15756824162986482,5.104378105419142e-07,3.0483266216863466e-07,5.596856,0.069,0.124
70,8.75,33.15,0.23721285452882024,0.603891756681338,0.1588953887898418,5.254974166961815e-07,3.0925052683774533e-07,5.5751103,0.07,0.125
71,3.75,33.15,0.23240781201300437,0.5977346684350056,0.1698575195519901,5.27590308540272e-07,3.136683915068559e-07,5.6157198,0.071,0.126
72,-1.25,33.15,0.27310951951990936,0.5582252782337463,0.16866520224634424,5.267664549756877e-07,3.0483266216863466e-07,5.569460200000001,0.069,0.124
73,-6.25,33.15,0.29907096906986635,0.528540397512318,0.17238863341781568,5.422827454670887e-07,3.0925052683774533e-07,5.554225800000001,0.07,0.126
74,-11.25,33.15,0.322072214625623,0.49947692638150654,0.17845085899287053,5.483063361970996e-07,3.0925052683774533e-07,5.5486755,0.07,0.126
75,-16.25,33.15,0.34306306071387677,0.47528456738469993,0.18165237190142325,5.469513435449833e-07,3.0483266216863466e-07,5.536014300000001,0.069,0.125
76,-21.25,33.15,0.37266143077483954,0.4438868260608599,0.1834517431643005,5.412756531634039e-07,2.9599693283041336e-07,5.5080837,0.067,0.122
77,-26.25,33.15,0.40448273743056873,0.41040170178568025,0.185115560783751,5.445211514532481e-07,2.915790681613027e-07,5.4758553999999995,0.066,0.12
78,-31.25,33.15,0.4397137970334144,0.37280082463306796,0.18748537833351767,5.489679817637043e-07,2.8716120349219206e-07,5.4405108,0.065,0.119
79,-36.25,33.15,0.4793813943401025,0.3354540413396205,0.18516456432027698,5.48750078541057e-07,2.7832547415397076e-07,5.3792731,0.063,0.118
80,-41.25,33.15,0.5124221465394385,0.30555598034744286,0.18202187311311865,5.460920160468511e-07,2.694897448157494e-07,5.3203569,0.061,0.114
81,-46.25,33.15,0.5466139542402949,0.2723053078839381,0.18108073787576706,5.336009596185747e-07,2.5623615080841754e-07,5.2655918,0.058,0.11
82,-51.25,33.15,0.5821867079032516,0.24540927793532524,0.17240401416142315,5.338597676027931e-07,2.474004214701962e-07,5.170794400000001,0.056,0.108
83,-56.25,33.15,0.6155414190242527,0.21834191139925493,0.16611666957649232,5.124290319899782e-07,2.2972896279375362e-07,5.085113,0.052,0.102
84,23.75,38.15,0.1871361750631542,0.6501009995251321,0.16276282541171372,4.861469951997525e-07,2.9599693283041336e-07,5.6385409,0.067,0.119
85,18.75,38.15,0.19724467994623726,0.6353246280059843,0.16743069204777847,5.095340046979876e-07,3.0925052683774533e-07,5.6425220000000005,0.07,0.124
