,cubic,a_cubic,fwhm_cubic,I_cubic_1,tetragonal,a_tetragonal,c_tetragonal,fwhm_tetragonal,I_tetragonal_1,I_tetragonal_2,I_tetragonal_3,I_tetragonal_4
0,1,5.71657392246056,5.082568623823806,4.82903895,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,1,5.819402227733464,6.189220287308978,5.55637562,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,1,5.764518837868829,7.01402097609438,3.22420772,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,1,5.707767345414141,5.499735534592313,4.15863371,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,0,5.578125,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,0,5.578125,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,1,5.661916807126451,6.761016133418604,3.53028862,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,1,5.6031310297222525,3.009259320411682,6.76310214,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,1,5.642493034150085,3.7110917938663404,4.99349876,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,1,5.678457500775751,4.189856758599916,6.18127341,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,1,5.585843193712477,3.781442253144085,4.16969219,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,1,5.804404044534096,4.400658583112829,3.68225146,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,1,5.933836189413284,6.433036995705101,5.59848629,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,0,5.578125,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,0,5.578125,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,1,5.584568244257125,1.936514447266273,3.00254235,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,1,5.5773489851866245,3.9998575528107465,3.36235928,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,0,5.546875,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,0,5.5,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,0,5.484375,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,1,5.612271834666518,3.7496199494674554,7.5293501,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,1,5.685788318355139,3.857059292652548,7.06869083,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,1,5.56412876288459,2.7138205843400653,5.19097024,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,1,5.56433086864834,2.9295119131290805,5.3330706,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,1,5.589846607584686,3.7733987106097877,5.66204497,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,1,5.550559167876483,3.2660326624329215,6.52281312,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,1,5.564740822284573,2.465679753058683,2.98772061,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,0,5.609375,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
28,0,5.5625,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
29,0,5.578125,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
30,0,5.5625,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
31,0,5.515625,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32,0,5.515625,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33,0,5.484375,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34,1,5.375786904676167,1.3491161040923083,3.60188073,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
35,1,5.671423021921172,4.071133082467272,6.36477793,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
36,1,5.641078858910263,3.1513100879605283,5.97726429,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
37,1,5.681698108099834,3.626700343234888,6.29651672,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
